id,graph_order,acronym,name,color_hex_triplet,parent_structure_id,structure_id_path,annotated,voxel_count,subgraph_annotated,subgraph_voxel_count,volume_mm3,volume_cm3
12154,2405,SOG,superior occipital gyrus,D14D46,12148.0,/10153/10154/10155/10156/10609/12112/12148/12154/,True,118525.0,True,118525.0,14815.625,14.815625
12177,2407,LIG,long insular gyri,C45539,12176.0,/10153/10154/10155/10156/10609/12112/12176/12177/,True,26945.0,True,26945.0,3368.125,3.368125
12178,2408,SIG,short insular gyri,D16146,12176.0,/10153/10154/10155/10156/10609/12112/12176/12178/,True,52628.0,True,52628.0,6578.5,6.5785
12157,2411,CgGr,"cingulate gyrus, rostral (anterior) part",E26880,12156.0,/10153/10154/10155/10156/10609/12112/12155/12156/12157/,True,67086.0,True,67086.0,8385.75,8.38575
12158,2412,CgGc,"cingulate gyrus, caudal (posterior) part",DF4F72,12156.0,/10153/10154/10155/10156/10609/12112/12155/12156/12158/,True,80813.0,True,80813.0,10101.625,10.101625
12159,2414,IsCPH,cingulo-parahippocampal isthmus,C4AD9A,12155.0,/10153/10154/10155/10156/10609/12112/12155/12159/,True,3478.0,True,3478.0,434.75,0.43475
12160,2415,SCG,subcallosal gyrus (parolfactory gyrus),E26880,12155.0,/10153/10154/10155/10156/10609/12112/12155/12160/,True,6568.0,True,6568.0,821.0,0.8210000000000001
12163,2418,APH,anterior parahippocampal gyrus,D2BFB2,12162.0,/10153/10154/10155/10156/10609/12112/12155/12162/12163/,True,22236.0,True,22236.0,2779.5,2.7795
12164,2419,PPH,posterior parahippocampal gyrus,C15184,12162.0,/10153/10154/10155/10156/10609/12112/12155/12162/12164/,True,15523.0,True,15523.0,1940.375,1.940375
12166,2421,AG,ambiens gyrus,D2BFB2,12165.0,/10153/10154/10155/10156/10609/12112/12155/12162/12165/12166/,True,2039.0,True,2039.0,254.875,0.254875
12171,2426,HiH,head of hippocampus,AA9DC6,12170.0,/10153/10154/10155/10156/10609/12112/12155/12170/12171/,True,14932.0,True,14932.0,1866.5,1.8665
12173,2428,HiB,body of hippocampus,AA9DC6,12170.0,/10153/10154/10155/10156/10609/12112/12155/12170/12173/,True,8904.0,True,8904.0,1113.0,1.113
12174,2429,HiT,tail of hippocampus,AA9DC6,12170.0,/10153/10154/10155/10156/10609/12112/12155/12170/12174/,True,9342.0,True,9342.0,1167.75,1.16775
12179,2437,LI,limen insula,D0D0D1,10609.0,/10153/10154/10155/10156/10609/12179/,True,635.0,True,635.0,79.375,0.079375
12181,2461,PTR,pretectal region,A0C7D5,10649.0,/10153/10154/10155/10648/10649/12181/,True,1467.0,True,1467.0,183.375,0.183375
12195,2474,MTg,midbrain tegmentum,5298AE,10649.0,/10153/10154/10155/10648/10649/12195/,True,20997.0,True,27094.0,3386.75,3.38675
12247,2528,RN,red nucleus,6CA9BF,12195.0,/10153/10154/10155/10648/10649/12195/12247/,True,3535.0,True,3535.0,441.875,0.441875
12251,2532,SN,substantia nigra,6CA9BF,12195.0,/10153/10154/10155/10648/10649/12195/12251/,True,2562.0,True,2562.0,320.25,0.32025
12292,2574,SC,superior colliculus,7EB3C9,12291.0,/10153/10154/10155/10648/10649/12291/12292/,True,2502.0,True,2502.0,312.75,0.31275
12305,2587,IC,inferior colliculus,7EB3C9,12291.0,/10153/10154/10155/10648/10649/12291/12305/,True,2712.0,True,2712.0,339.0,0.339
12330,2616,cpd,cerebral peduncle (crus cerebri),F2F1F0,10650.0,/10153/10154/10155/10648/10650/12330/,True,10833.0,True,10833.0,1354.125,1.354125
12354,2644,scp,superior cerebellar peduncle (brachium conjunctivum),F2F1F0,10650.0,/10153/10154/10155/10648/10650/12354/,True,2338.0,True,2338.0,292.25,0.29225
12369,2660,Aq,cerebral aqueduct,231F20,10651.0,/10153/10154/10155/10648/10651/12369/,True,974.0,True,974.0,121.75,0.12175
10658,2677,CBV,cerebellar vermis,76A2D5,10657.0,/10153/10154/10155/10653/10654/10655/10656/10657/10658/,True,47241.0,True,47241.0,5905.125,5.905125
12384,2696,CBPV,paravermis of cerebellum,4A8ECC,10659.0,/10153/10154/10155/10653/10654/10655/10656/10657/10659/12384/,True,146642.0,True,146642.0,18330.25,18.33025
12390,2714,CBL,lateral hemisphere of cerebellum,4A8ECC,10659.0,/10153/10154/10155/10653/10654/10655/10656/10657/10659/12390/,True,355760.0,True,355760.0,44470.0,44.47
10660,2732,CbDN,cerebellar deep nuclei,3E80BA,10656.0,/10153/10154/10155/10653/10654/10655/10656/10660/,True,8356.0,True,8356.0,1044.5,1.0445
12405,2744,PnBa,basilar part of pons,7893C7,10661.0,/10153/10154/10155/10653/10654/10655/10661/12405/,True,51784.0,True,51784.0,6473.0,6.473
12416,2754,PnTg,pontine tegmentum,6586BF,10661.0,/10153/10154/10155/10653/10654/10655/10661/12416/,True,20477.0,True,20477.0,2559.625,2.559625
12535,2881,MoPy,pyramidal part of medulla oblongata,979ECB,10662.0,/10153/10154/10155/10653/10654/10662/12535/,True,1516.0,True,1516.0,189.5,0.1895
12538,2884,MoTg,tegmentum of medulla oblongata,838BC1,10662.0,/10153/10154/10155/10653/10654/10662/12538/,True,19471.0,True,21388.0,2673.5,2.6735
12600,2948,IO,inferior olive,3E4D89,12595.0,/10153/10154/10155/10653/10654/10662/12538/12595/12600/,True,1917.0,True,1917.0,239.625,0.239625
10668,3123,HWM,white matter of hindbrain,F2F1F0,10653.0,/10153/10154/10155/10653/10668/,True,128984.0,True,141481.0,17685.125,17.685125
12741,3139,icp,inferior cerebellar peduncle,F2F1F0,10668.0,/10153/10154/10155/10653/10668/12741/,True,1592.0,True,1592.0,199.0,0.199
12768,3166,mcp,middle cerebellar peduncle,F2F1F0,10668.0,/10153/10154/10155/10653/10668/12768/,True,10905.0,True,10905.0,1363.125,1.363125
12805,3206,4V,fourth ventricle,231F20,10669.0,/10153/10154/10155/10653/10669/12805/,True,11454.0,True,11454.0,1431.75,1.43175
12826,3210,cec,central canal of medulla oblongata,231F20,10669.0,/10153/10154/10155/10653/10669/12826/,True,175.0,True,175.0,21.875,0.021875
